Date,Open,High,Low,Close,Volume,ticker
29/12/2023,99.24,99.24,99.24,99.24,data,IDCOT20TR:PSE
28/12/2023,100.18,100.18,100.18,100.18,0,IDCOT20TR:PSE
27/12/2023,100.9,100.9,100.9,100.9,0,IDCOT20TR:PSE
26/12/2023,99.17,99.17,99.17,99.17,0,IDCOT20TR:PSE
22/12/2023,98.9,98.9,98.9,98.9,0,IDCOT20TR:PSE
21/12/2023,99.35,99.35,99.35,99.35,0,IDCOT20TR:PSE
20/12/2023,100.03,100.03,100.03,100.03,0,IDCOT20TR:PSE
19/12/2023,99.31,99.31,99.31,99.31,0,IDCOT20TR:PSE
18/12/2023,98.84,98.84,98.84,98.84,0,IDCOT20TR:PSE
15/12/2023,99.56,99.56,99.56,99.56,0,IDCOT20TR:PSE
14/12/2023,99.36,99.36,99.36,99.36,0,IDCOT20TR:PSE
13/12/2023,96.9,96.9,96.9,96.9,0,IDCOT20TR:PSE
12/12/2023,94.71,94.71,94.71,94.71,0,IDCOT20TR:PSE
11/12/2023,94.41,94.41,94.41,94.41,0,IDCOT20TR:PSE
08/12/2023,94.58,94.58,94.58,94.58,0,IDCOT20TR:PSE
07/12/2023,95.38,95.38,95.38,95.38,0,IDCOT20TR:PSE
06/12/2023,96.01,96.01,96.01,96.01,0,IDCOT20TR:PSE
05/12/2023,94.66,94.66,94.66,94.66,0,IDCOT20TR:PSE
04/12/2023,92.69,92.7,92.69,92.7,0,IDCOT20TR:PSE
01/12/2023,92.99,92.99,92.99,92.99,0,IDCOT20TR:PSE
30/11/2023,91.37,91.37,91.37,91.37,0,IDCOT20TR:PSE
29/11/2023,92.45,92.45,92.45,92.45,0,IDCOT20TR:PSE
28/11/2023,91.25,91.25,91.25,91.25,0,IDCOT20TR:PSE
27/11/2023,91.08,91.08,91.08,91.08,0,IDCOT20TR:PSE
24/11/2023,89.61,89.61,89.61,89.61,0,IDCOT20TR:PSE
22/11/2023,90.64,90.64,90.64,90.64,0,IDCOT20TR:PSE
21/11/2023,90.32,90.32,90.32,90.32,0,IDCOT20TR:PSE
20/11/2023,90.36,90.36,90.36,90.36,0,IDCOT20TR:PSE
17/11/2023,89.82,89.82,89.82,89.82,0,IDCOT20TR:PSE
16/11/2023,89.41,89.41,89.41,89.41,0,IDCOT20TR:PSE
15/11/2023,88.35,88.35,88.35,88.35,0,IDCOT20TR:PSE
14/11/2023,89.58,89.58,89.58,89.58,0,IDCOT20TR:PSE
